,Name,Model Number,SKU,Category,Number of Reviews,Rating,Price
92,GE - 21.9 Cu. Ft. French Door Counter Depth Refrigerator with Internal Water Dispenser - Stainless Steel,GWE22JYMFS,6582112,refrigerator,1,5,479.99
93,Insignia™ - 13.8 Cu. Ft. Garage Ready Convertible Upright Freezer with ENERGY STAR Certification - White,NS-UZ14WH0,6336451,refrigerator,3484,4.7,"1,799.99"
94,GE - 20.6 Cu. Ft. French Door Counter Depth Refrigerator with Space Saving Icemaker - Stainless Steel,GYE21JYMFS,6582113,refrigerator,5,4.4,"1,699.99"
95,Samsung - 22 cu. ft. 3-Door French Door Smart Refrigerator with External Water Dispenser - Stainless Steel,RF22A4221SR/AA,6471965,refrigerator,412,4,"1,499.99"
96,Frigidaire - Professional 22.3 Cu. Ft. Side by Side Counter Depth Refrigerator - Stainless Steel,PRSC2222AF,6540380,refrigerator,15,4.4,"1,949.99"
97,Frigidaire - Gallery 27.8 Cu. Ft. French Door Refrigerator - Stainless Steel,GRFS2853AF,6485401,refrigerator,147,4.3,"1,799.99"
98,LG - 27.7 Cu. Ft. French Door Smart Refrigerator with External Ice and Water - Black Stainless Steel,LRFS28XBD,6532717,refrigerator,568,4.7,"2,699.99"
99,Samsung - Bespoke 23 Cu. Ft. 4-Door Flex French Door Counter Depth Refrigerator with Beverage Zone and Auto Open Door - Stainless Steel,RF23DB9700QLAA,6571692,refrigerator,17,4.4,749.99
100,GE - 21.9 Cu. Ft. Top-Freezer Refrigerator with Garage Ready Performance from 38-110 Degrees Fahrenheit - Black,GTS22KGNRBB,6399113,refrigerator,1307,4.4,"2,099.99"
101,Samsung - BESPOKE 24 cu. ft. French Door Counter Depth Smart Refrigerator with Beverage Center - Stainless Steel,RF24BB6600QL/AA,6493514,refrigerator,401,4.5,"1,599.99"
102,Samsung - BESPOKE Side-by-Side Counter Depth Smart Refrigerator with Beverage Center - Stainless Steel,RS23CB7600QL/AA,6529229,refrigerator,256,4.8,"2,999.99"
103,Samsung - BESPOKE 29 cu. ft. 4-Door French Door Smart Refrigerator with Family Hub - White Glass,RF29BB890012AA,6553162,refrigerator,613,4.6,"2,099.99"
104,Frigidaire - 21.5 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator - Stainless Steel,GRMC2273CF,6533166,refrigerator,130,4.5,"1,199.99"
105,Whirlpool - 25.1 Cu. Ft. Side-by-Side Refrigerator - Stainless Steel,WRS315SNHM,6211525,refrigerator,755,4.2,"3,099.99"
106,Samsung - BESPOKE 23 cu. ft. 4-Door French Door Counter Depth Smart Refrigerator with Family Hub - White Glass,RF23BB890012AA,6553161,refrigerator,26,4.7,"2,299.99"
107,Samsung - Bespoke 29 Cu. Ft. 4-Door Flex French Door Refrigerator with Beverage Center - Stainless Steel,RF29DB9600QLAA,6571691,refrigerator,24,4.3,"1,999.99"
108,Frigidaire - Gallery 26.3 Cu. Ft. 4-Door French Door Refrigerator - Stainless Steel,GRMS2773AF,6546716,refrigerator,42,4.2,"4,149.00"
109,Viking - French Door Refrigerator - Stainless Steel,RVFFR336SS,6511657,refrigerator,22,3.5,"2,699.99"
110,LG - Counter-Depth MAX 25.5 Cu. Ft. French Door Smart Refrigerator with Four Kinds of Ice - Stainless Steel,LRYXC2606S,6532711,refrigerator,248,4.6,"2,099.99"
111,LG - Standard-Depth MAX 30.7 Cu. Ft. French Door Smart Refrigerator with Dual Ice Maker - Stainless Steel,LRFXS3106S,6553176,refrigerator,54,4.6,"2,299.99"
112,Frigidaire - Professional 22.6 Cu. Ft. French Door Counter-Depth Refrigerator - Stainless Steel,PRFC2383AF,6540376,refrigerator,8,4.9,"2,499.99"
113,Samsung - 25 cu. ft. 3-Door French Door Counter Depth Smart Refrigerator with Family Hub - Stainless Steel,RF27CG5900SR/AA,6546228,refrigerator,68,4.5,"2,799.99"
114,Samsung - BESPOKE 30 cu. ft 3-Door French Door Smart Refrigerator with Family Hub - Gray Glass,RF30BB69006M/AA,6493531,refrigerator,222,4.7,"3,099.99"
115,Samsung - BESPOKE 23 cu. ft. 4-Door French Door Counter Depth Smart Refrigerator with Family Hub - Matte Black Steel,RF23BB89008MAA,6493506,refrigerator,402,4.6,"2,499.99"
116,LG - Standard-Depth MAX 30.7 Cu. Ft. French Door Smart Refrigerator with InstaView - Stainless Steel,LF31S6360S,6573588,refrigerator,22,4.7,"3,199.99"
117,LG - 22.5 Cu. Ft. 4-Door French Door-in-Door Counter-Depth Smart Refrigerator with Craft Ice - Stainless Steel,LRMVC2306S,6397170,refrigerator,426,4.6,779.99
118,Frigidaire - 20 Cu. Ft. Top Freezer Refrigerator - Stainless Steel,FFHT2045VS,6467057,refrigerator,45,4,"1,949.99"
119,Frigidaire - Gallery 23.3 Cu. Ft. Counter-Depth French Door Refrigerator - Stainless Steel,GRFG2353AF,6485447,refrigerator,12,3.9,"1,499.99"
120,GE - 24.8 Cu. Ft. Bottom-Freezer Refrigerator - Stainless Steel,GDE25EYKFS,6475410,refrigerator,11,4,"2,999.99"
121,LG - Standard-Depth MAX 30.7 Cu. Ft. French Door Smart Refrigerator with InstaView - Stainless Steel,LRYKS3106S,6540881,refrigerator,78,4.6,"3,999.99"
122,KitchenAid - 26 cu. ft. French Door Refrigerator with Ice and Water Dispenser - Stainless Steel,KRMF536RPS,6575128,refrigerator,20,4.5,"1,799.99"
123,Frigidaire - 27.8 Cu. Ft. French Door Refrigerator - White,FRFS2823AW,6517588,refrigerator,74,4,"1,249.99"
124,Frigidaire - Gallery 25.6 Cu. Ft. Side-by-Side Refrigerator - Stainless Steel,GRSS2652AF,6461530,refrigerator,191,4.3," 1,989.00 "
125,"Thor Kitchen - 21.6-cu ft Professional French Door Refrigerator with Ice and Water Dispenser, Counter Depth - Stainless Steel",TRF3601FD,6507660,refrigerator,6,4.8, 672.00 
126,LG - Standard-Depth MAX 29.6 Cu. Ft. 4-Door French Door Smart Refrigerator with Full-Convert Drawer - Stainless Steel,LF30S8210S,6553171,refrigerator,125,4.7," 1,151.00 "
127,GE Profile - 22.1 Cu. Ft. French Door Counter-Depth Refrigerator with Hands-Free AutoFill - Stainless Steel,PYE22KYNFS,6399139,refrigerator,391,4.2, 672.00 
128,Frigidaire - 13.9 Cu. Ft. Top-Freezer Refrigerator - Brushed Steel,FFHT1425VV,6365351,refrigerator,243,4.5," 1,891.00 "
129,LG - 28.7 Cu. Ft. 3-Door French Door Refrigerator with Ice Plus - Stainless Steel,LRFCS29D6S,6522323,refrigerator,19,4.2," 1,313.00 "
